model,dataset,size,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,train_time,test_time,flops
SVM,NEWS,small,0.6492,0.73,0.69,0.71,0.54,0.58,0.56,0.09,0.0093,598839
SVM,FAKE,medium,0.8075,0.58,0.77,0.67,0.92,0.82,0.86,16.07,2.2819,67164240
SVM,WELFAKE,large,0.9061,0.91,0.89,0.9,0.9,0.92,0.91,581.79,48.6947,377685748
LSTM,NEWS,small,0.6181,0.62,1,0.76,0,0,0,4.24,0.0101,19712000
LSTM,FAKE,medium,0.7519,0,0,0,0.75,1,0.86,51.98,0.4265,19712000
LSTM,WELFAKE,large,0.916,0.95,0.88,0.91,0.89,0.95,0.92,141.47,0.2612,19712000
DistilBERT,NEWS,small,0.7351,0.77,0.81,0.79,0.67,0.61,0.64,46.55,0.86,-
DistilBERT,FAKE,medium,0.858,0.75,0.64,0.69,0.89,0.93,0.91,644.55,12.75,-
DistilBERT,WELFAKE,large,0.9526,0.96,0.95,0.95,0.95,0.96,0.95,2429.56,51.46,-
